순위,영화명,감독,관객수,제작국가,장르,국적
144,아이언맨 2,존 파브로,4498335,미국,"SF,액션,어드벤처",미국
145,강철비,양우석,4451336,한국,"액션,드라마",한국
146,해리포터와 죽음의 성물2,데이빗 예이츠,4400298,미국,"판타지,미스터리",미국
147,다만 악에서 구하소서,홍원찬,4352669,한국,"범죄,액션",한국
148,아이언맨,존 파브로,4316003,미국,"SF,드라마,액션",미국
149,엑스맨: 데이즈 오브 퓨처 패스트,브라이언 싱어,4313871,미국,"액션,판타지,SF,어드벤처",미국
150,판도라,박정우,4302032,한국,"드라마,스릴러",한국
151,강철중: 공공의 적 1-1,강우석,4300670,한국,"드라마,액션",한국
152,아가씨,박찬욱,4277071,한국,"스릴러,드라마",한국
153,킹콩,피터 잭슨,4232430,미국,"드라마,어드벤처",미국
154,어메이징 스파이더맨 2,마크 웹,4168350,미국,"액션,판타지",미국
155,인디아나 존스 4 : 크리스탈 해골의 왕국,스티븐 스필버그,4136101,미국,"액션,어드벤처",미국
156,용의자,원신연,4131248,한국,"액션,스릴러",한국
157,건축학개론,이용주,4110645,한국,"멜로/로맨스,드라마",한국
158,태풍,곽경택,4094395,한국,"드라마,액션",한국
159,미이라 3:황제의 무덤,롭 코헨,4090795,미국,"액션,어드벤처,판타지",미국
160,7급 공무원,신태라,4088799,한국,"코미디,액션,드라마,범죄",한국
161,다크 나이트,크리스토퍼 놀란,4087355,미국,"범죄,드라마,액션,미스터리",미국
162,색즉시공,윤제균,4082797,한국,코미디,한국
163,댄싱퀸,이석훈,4057546,한국,"코미디,드라마",한국
164,우리 생애 최고의 순간,임순례,4044582,한국,드라마,한국
165,꾼,장창원,4018341,한국,범죄,한국
166,혹성탈출: 반격의 서막,맷 리브스,4002134,미국,"액션,드라마,SF,스릴러",미국
167,타짜-신의 손,강형철,4001813,한국,드라마,한국
168,해리포터와 비밀의 방,크리스 콜럼버스,4000000,미국,드라마,미국
169,쿵푸팬더3,"여인영,알레산드로 칼로니",3984812,미국,"애니메이션,액션,어드벤처",미국
170,캡틴 아메리카: 윈터 솔져,"조 루소,안소니 루소",3963220,미국,"액션,어드벤처,SF",미국
171,공공의 적 2,강우석,3911356,한국,드라마,한국
172,박수건달,조진규,3893216,한국,코미디,한국
173,베놈,루벤 플레셔,3888096,미국,"액션,SF,스릴러",미국
174,한반도,강우석,3880308,한국,"드라마,액션",한국
175,조선명탐정 : 사라진 놉의 딸,김석윤,3872015,한국,"사극,코미디,어드벤처",한국
176,트로이,볼프강 페터젠,3851000,미국,사극,미국
177,역린,이재규,3849433,한국,사극,한국
178,매드 맥스: 분노의 도로,조지 밀러,3842441,"미국,호주","액션,어드벤처,스릴러",미국
179,남한산성,황동혁,3829891,한국,"사극,드라마",한국
180,반도,연상호,3812080,한국,"액션,드라마",한국
181,데드풀 2,데이빗 레이치,3784602,미국,"액션,어드벤처,코미디,SF",미국
182,쌍화점,유하,3779553,한국,드라마,한국
183,암수살인,김태균,3772620,한국,"범죄,드라마",한국
184,국가부도의 날,최국희,3754983,한국,드라마,한국
185,신기전,김유진,3726134,한국,"사극,드라마,액션,전쟁",한국
186,미이라,알렉스 커츠먼,3689325,미국,"액션,어드벤처,판타지",미국
187,82년생 김지영,김도영,3679019,한국,드라마,한국
188,분노의 질주: 홉스&쇼,데이빗 레이치,3657536,미국,액션,미국
189,분노의 질주: 더 익스트림,F. 게리 그레이,3653238,"미국,일본,프랑스,캐나다","액션,범죄,스릴러",미국
190,친절한 금자씨,박찬욱,3650000,한국,스릴러,한국
191,너의 이름은.,신카이 마코토,3637122,일본,"애니메이션,드라마,멜로/로맨스",일본
192,해리포터와 불의 잔,마이크 뉴웰,3615000,미국,판타지,미국
193,인턴,낸시 마이어스,3610642,미국,코미디,미국
194,라라랜드,데이미언 셔젤,3597193,미국,"드라마,뮤지컬,멜로/로맨스",미국
195,귀향,조정래,3586523,한국,"드라마,판타지",한국
196,귀향,조정래,3586523,한국,"드라마,판타지",한국
197,귀향,조정래,3586523,한국,"드라마,판타지",한국
195,귀향,조정래,3586523,한국,드라마,한국
196,귀향,조정래,3586523,한국,드라마,한국
197,귀향,조정래,3586523,한국,드라마,한국
195,귀향,조정래,3586523,스페인,"드라마,판타지",한국
196,귀향,조정래,3586523,스페인,"드라마,판타지",한국
197,귀향,조정래,3586523,스페인,"드라마,판타지",한국
198,리얼 스틸,숀 레비,3579666,미국,"액션,드라마,SF",미국
199,신의 한 수,조범구,3562123,한국,"범죄,액션",한국
200,미스터 & 미세스 스미스,더그 라이만,3546900,미국,"멜로/로맨스,액션,어드벤처,스릴러",미국
201,스캔들-조선남녀상열지사,이재용,3522747,한국,사극,한국
202,코코,리 언크리치,3510017,미국,애니메이션,미국
203,매트릭스2 리로디드,"릴리 워쇼스키,라나 워쇼스키",3510000,미국,"SF,범죄,액션",미국
204,해리 포터와 불사조 기사단,데이빗 예이츠,3475000,미국,"판타지,액션,어드벤처",미국
205,가문의 부활 - 가문의 영광3,정용기,3464516,한국,코미디,한국
206,부러진 화살,정지영,3450941,한국,드라마,한국
207,끝까지 간다,김성훈,3450143,한국,"액션,스릴러,범죄",한국
208,아일랜드,마이클 베이,3433900,미국,"SF,드라마,액션,스릴러",미국
209,비긴 어게인,존 카니,3427464,미국,멜로/로맨스,미국
210,스파이,이승준,3423920,미국,"액션,코미디",한국
211,스파이,이승준,3423920,미국,"액션,코미디",한국
210,스파이,이승준,3423920,"한국,태국",액션,한국
211,스파이,이승준,3423920,"한국,태국",액션,한국
212,그것만이 내 세상,최성현,3417629,한국,"코미디,드라마",한국
213,이끼,강우석,3408144,한국,"드라마,스릴러",한국
214,토이 스토리 4,조시 쿨리,3399913,미국,"애니메이션,어드벤처,코미디",미국
215,돈,박누리,3389035,한국,범죄,한국
216,포화속으로,이재한,3385706,한국,"드라마,전쟁",한국
217,다이 하드 4 : 죽어도 산다,렌 와이즈먼,3380800,미국,액션,미국
218,맨 인 블랙 3,배리 소넨필드,3379762,미국,"액션,코미디,SF",미국
219,어바웃 타임,리차드 커티스,3375735,영국,"멜로/로맨스,코미디",영국
220,악인전,이원태,3364079,한국,"범죄,액션",한국
221,다빈치 코드,론 하워드,3339082,미국,"미스터리,스릴러",미국
222,슈퍼배드 3,"피에르 꼬팽,카일 발다",3324861,미국,애니메이션,미국
223,데드풀,팀 밀러,3317196,미국,"액션,SF",미국
224,시동,최정열,3317038,한국,드라마,한국
225,슈렉2,"캘리 애스버리,앤드류 아담슨,콘래드 베논",3300533,미국,애니메이션,미국
226,아이 캔 스피크,김현석,3280243,한국,코미디,한국
