,영화명,감독,개봉일,국가,스크린수,관객수,관람가,장르,개봉연도,개봉월,흥행
1486,애나벨 집으로,게리 도버먼,2019-06-26,미국,653,481766,15세이상,공포(호러),2019,6,0
1487,계춘할망,창,2016-05-19,한국,526,480987,15세이상,가족,2016,5,0
1488,소녀괴담,오인천,2014-07-02,한국,455,480528,15세이상,미스터리,2014,7,0
1489,조선미녀삼총사,박제현,2014-01-29,한국,388,480361,12세이상,코미디,2014,1,0
1490,맨 온 파이어,토니 스콧,2004-09-24,미국,0,480040,15세이상,액션,2004,9,0
1491,친정엄마,유성엽,2010-04-22,한국,276,478822,전체,드라마,2010,4,0
1492,넛잡: 땅콩 도둑들,피터 레페니오티스,2014-01-29,한국,382,478392,전체,애니메이션,2014,1,0
1493,신데렐라맨,론 하워드,2005-09-15,미국,0,477760,전체,드라마,2005,9,0
1494,내니 다이어리,로버트 풀치니,2007-10-03,미국,0,477513,12세이상,코미디,2007,10,0
1495,"로봇, 소리",이호재,2016-01-27,한국,609,476665,12세이상,드라마,2016,1,0
1496,트리플 엑스 리턴즈,D.J. 카루소,2017-02-08,미국,590,475309,15세이상,액션,2017,2,0
1497,블러드 다이아몬드,에드워드 즈윅,2007-01-11,미국,0,475000,19세이상,드라마,2007,1,0
1498,변산,이준익,2018-07-04,한국,763,474137,15세이상,드라마,2018,7,0
1499,페이스,유상곤,2004-06-11,한국,0,474000,15세이상,공포(호러),2004,6,0
1503,위험한 상견례 2,김진영,2015-04-29,한국,429,472693,15세이상,멜로/로맨스,2015,4,0
1504,잠베지아: 신비한 나무섬의 비밀,웨인 쏜리,2012-12-25,남아프리카공화국,273,472692,전체,애니메이션,2012,12,0
1505,슈퍼 에이트,J.J. 에이브럼스,2011-06-16,미국,411,472118,12세이상,SF,2011,6,0
1506,태양의 눈물,안톤 후쿠아,2003-04-04,미국,0,471818,12세이상,액션,2003,4,0
1507,카운트다운,허종호,2011-09-29,한국,341,471547,19세이상,공포(호러),2011,9,0
1523,식객2 : 김치전쟁,백동훈,2010-01-28,한국,357,471103,전체,드라마,2010,1,0
1524,명탐정 코난 : 화염의 해바라기,시즈노 코분,2015-08-05,일본,433,470990,전체,애니메이션,2015,8,0
1525,내 생애 최악의 남자,손현희,2007-08-30,한국,0,470548,15세이상,드라마,2007,8,0
1526,달콤한 거짓말,정정화,2008-12-18,한국,339,470256,12세이상,멜로/로맨스,2008,12,0
1527,리얼,이사랑,2017-06-28,한국,970,470105,19세이상,액션,2017,6,0
1528,아이덴티티,제임스 맨골드,2003-10-31,미국,0,468817,15세이상,범죄,2003,10,0
1529,적인걸: 측천무후의 비밀,서극,2010-10-06,중국,286,468273,12세이상,액션,2010,10,0
1530,페이스메이커,김달중,2012-01-18,한국,412,467697,12세이상,드라마,2012,1,0
1531,튜브,백운학,2003-06-05,한국,0,467570,15세이상,액션,2003,6,0
1532,글래스,M. 나이트 샤말란,2019-01-17,미국,837,466475,15세이상,드라마,2019,1,0
1533,마담 뺑덕,임필성,2014-10-02,한국,536,465749,19세이상,멜로/로맨스,2014,10,0
1534,카 2,존 라세터,2011-07-20,미국,379,465607,전체,애니메이션,2011,7,0
1535,사하라,브렉 에이즈너,2005-06-24,미국,0,465599,12세이상,액션,2005,6,0
1536,너의 췌장을 먹고 싶어,츠키카와 쇼,2017-10-25,일본,218,465495,12세이상,애니메이션,2017,10,0
1540,순수의 시대,안상훈,2015-03-05,한국,546,465492,19세이상,사극,2015,3,0
1541,생텀,앨리스터 그리어슨,2011-02-10,미국,323,464607,15세이상,어드벤처,2011,2,0
1542,퍼블릭 에너미,마이클 만,2009-08-12,미국,292,464076,15세이상,범죄,2009,8,0
1543,파르나서스 박사의 상상극장,테리 길리엄,2009-12-23,미국,305,462999,12세이상,판타지,2009,12,0
1544,유령신부(애니),팀 버튼,2005-11-03,영국,0,462800,전체,애니메이션,2005,11,0
1545,락아웃: 익스트림미션,제임스 매더스,2012-06-14,미국,374,462176,15세이상,SF,2012,6,0
1546,부그와 엘리엇(애니),로저 알러스,2007-01-04,미국,0,460627,전체,애니메이션,2007,1,0
1547,언스토퍼블,토니 스콧,2010-11-10,미국,309,459535,12세이상,액션,2010,11,0
1548,라이프,다니엘 에스피노사,2017-04-05,미국,647,459421,15세이상,SF,2017,4,0
1552,화씨 911,마이클 무어,2004-07-22,미국,0,459404,15세이상,다큐멘터리,2004,7,0
1553,동네사람들,임진순,2018-11-07,한국,731,459020,15세이상,액션,2018,11,0
1554,세 얼간이,라즈쿠마르 히라니,2011-08-18,인도,232,458988,12세이상,코미디,2011,8,0
1555,더 리더: 책 읽어주는 남자,스티븐 달드리,2009-03-26,미국,242,457343,19세이상,드라마,2009,3,0
1556,옹박 : 두번째 미션,프라챠 핀카엡,2005-08-18,태국,0,453530,15세이상,액션,2005,8,0
1557,노브레싱,조용선,2013-10-30,한국,584,451669,15세이상,드라마,2013,10,0
1558,원더풀 고스트,조원희,2018-09-26,한국,351,450374,12세이상,코미디,2018,9,0
1559,브이 포 벤데타,제임스 맥티그,2006-03-16,미국,0,450200,15세이상,액션,2006,3,0
1561,언더월드2 - 에볼루션,렌 와이즈먼,2006-02-23,미국,0,449407,18세이상,액션,2006,2,0
1562,클라우드 아틀라스,릴리 워쇼스키,2013-01-09,미국,382,449071,19세이상,SF,2013,1,0
1563,히든 피겨스,데오도르 멜피,2017-03-23,미국,448,448923,12세이상,드라마,2017,3,0
1564,명탐정 코난:진홍의 연가,시즈노 코분,2017-08-02,일본,582,448381,12세이상,애니메이션,2017,8,0
1565,엠,이명세,2007-10-25,한국,0,448350,15세이상,미스터리,2007,10,0
1566,대한민국 1%,조명남,2010-05-05,한국,287,447569,12세이상,드라마,2010,5,0
1567,빅쇼트,아담 맥케이,2016-01-21,미국,489,446664,19세이상,드라마,2016,1,0
1568,파라노말 액티비티,오렌 펠리,2010-01-13,미국,187,446510,12세이상,공포(호러),2010,1,0
1569,반드시 잡는다,김홍선,2017-11-29,한국,565,446379,15세이상,스릴러,2017,11,0
1570,뽀로로 극장판 컴퓨터 왕국 대모험,박영균,2015-12-10,한국,544,445014,전체,애니메이션,2015,12,0
1571,헌츠맨: 윈터스 워,세딕 니콜라스 트로얀,2016-04-13,미국,557,445009,12세이상,액션,2016,4,0
1572,익스펜더블 2,사이먼 웨스트,2012-09-06,미국,393,444045,15세이상,액션,2012,9,0
1573,밀레니엄 : 여자를 증오한 남자들,데이빗 핀처,2012-01-11,미국,321,443889,19세이상,스릴러,2012,1,0
1574,넘버23,조엘 슈마허,2007-03-22,미국,0,443464,15세이상,스릴러,2007,3,0
1575,오감도,허진호,2009-07-09,한국,302,443462,19세이상,드라마,2009,7,0
1576,"울지마, 톤즈",구수환,2010-09-09,한국,22,441707,전체,다큐멘터리,2010,9,0
1577,작은 영웅 데스페로,샘 펠,2009-02-12,미국,180,441525,전체,애니메이션,2009,2,0
1578,주온 2,시미즈 다카시,2003-09-05,일본,0,440000,15세이상,공포(호러),2003,9,0
1579,10억,조민호,2009-08-06,한국,252,438833,15세이상,스릴러,2009,8,0
1580,호스티지,플로렝 에밀리오 시리,2005-03-18,미국,0,438516,15세이상,스릴러,2005,3,0
1581,워리어스 웨이,이승무,2010-12-01,미국,441,437101,15세이상,액션,2010,12,0
1582,야연,펑샤오강,2006-09-21,중국,0,436903,15세이상,사극,2006,9,0
1583,감쪽같은 그녀,허인무,2019-12-04,한국,761,436257,전체,드라마,2019,12,0
1584,아기와 나,김진영,2008-08-14,한국,217,435551,12세이상,드라마,2008,8,0
1588,시즌 오브 더 위치: 마녀 호송단,도미닉 세나,2011-01-13,미국,218,435201,15세이상,어드벤처,2011,1,0
1589,누가 그녀와 잤을까?,김유성,2006-11-16,한국,0,434877,15세이상,코미디,2006,11,0
1590,원라인,양경모,2017-03-29,한국,613,433825,15세이상,범죄,2017,3,0
1591,갈갈이 패밀리와 드라큐라,남기남,2003-08-01,한국,0,432999,전체,코미디,2003,8,0
1592,쏘우 3,대런 린 보우즈만,2006-11-30,미국,0,432876,19세이상,공포(호러),2006,11,0
1593,마법에 걸린 사랑,케빈 리마,2008-01-10,미국,247,431376,전체,멜로/로맨스,2008,1,0
1594,"협녀, 칼의 기억",박흥식,2015-08-13,한국,572,431310,15세이상,사극,2015,8,0
1595,그린 북,피터 패럴리,2019-01-09,미국,398,429733,12세이상,드라마,2019,1,0
1596,잔혹한 출근,김태윤,2006-11-02,한국,0,429546,15세이상,코미디,2006,11,0
1597,창수,이덕희,2013-11-28,한국,415,429141,19세이상,드라마,2013,11,0
1598,랭고,고어 버빈스키,2011-03-03,미국,314,428896,전체,애니메이션,2011,3,0
1599,오피스,홍원찬,2015-09-03,한국,425,428429,15세이상,스릴러,2015,9,0
1600,세상의 중심에서 사랑을 외치다,유키사다 이사오,2004-10-08,일본,0,428202,12세이상,멜로/로맨스,2004,10,0
1601,모비딕,박인제,2011-06-09,한국,377,428139,15세이상,스릴러,2011,6,0
1602,장난스런 키스,프랭키 첸,2019-03-27,대만,532,428009,12세이상,멜로/로맨스,2019,3,0
1603,스머프: 비밀의 숲,캘리 애스버리,2017-04-28,미국,607,427764,전체,애니메이션,2017,4,0
1604,리딕 - 헬리온 최후의 빛,데이빗 토히,2004-08-13,미국,0,427154,12세이상,SF,2004,8,0
1605,쏘우 2,대런 린 보우즈만,2006-02-16,미국,0,426650,18세이상,공포(호러),2006,2,0
1606,두 개의 달,김동빈,2012-07-12,한국,347,425972,15세이상,공포(호러),2012,7,0
1607,나를 잊지 말아요,이윤정,2016-01-07,한국,559,425799,15세이상,멜로/로맨스,2016,1,0
1608,드래곤볼 에볼루션,제임스 왕,2009-03-12,미국,278,425571,전체,액션,2009,3,0
1609,월드 오브 투모로우,케리 코란,2005-01-14,미국,0,424551,전체,SF,2005,1,0
1610,로망스,문승욱,2006-03-16,한국,0,424514,18세이상,멜로/로맨스,2006,3,0
1614,다이버전트,닐 버거,2014-04-16,미국,511,424041,15세이상,SF,2014,4,0
1615,티끌모아 로맨스,김정환,2011-11-10,한국,294,424002,15세이상,멜로/로맨스,2011,11,0
1616,뉴 폴리스 스토리,진목승,2005-01-21,홍콩,0,423487,15세이상,액션,2005,1,0
1617,신이 보낸 사람,김진무,2014-02-13,한국,285,423026,15세이상,드라마,2014,2,0
1618,기다리다 미쳐,류승진,2008-01-01,한국,239,422363,15세이상,멜로/로맨스,2008,1,0
1619,우리 방금 결혼했어요,숀 레비,2003-03-07,미국,0,420000,15세이상,멜로/로맨스,2003,3,0
1620,뚝방전설,조범구,2006-09-07,한국,0,418445,18세이상,액션,2006,9,0
1621,온워드: 단 하루의 기적,댄 스캔론,2020-06-17,미국,1138,416739,전체,애니메이션,2020,6,0
1622,흥부: 글로 세상을 바꾼 자,조근현,2018-02-14,한국,627,416303,12세이상,사극,2018,2,0
1623,무뢰한,오승욱,2015-05-27,한국,482,414626,19세이상,멜로/로맨스,2015,5,0
1624,늑대소년-확장판,조성희,2012-12-06,한국,278,414083,15세이상,멜로/로맨스,2012,12,0
1625,미스터 주부퀴즈왕,유선동,2005-09-30,한국,0,413157,12세이상,코미디,2005,9,0
1626,해피 데스데이 2 유,크리스토퍼 랜던,2019-02-14,미국,657,412850,15세이상,공포(호러),2019,2,0
1627,킹 아서: 제왕의 검,가이 리치,2017-05-17,영국,588,412843,12세이상,판타지,2017,5,0
1628,스텝 업,앤 플레쳐,2006-11-23,미국,0,411858,12세이상,멜로/로맨스,2006,11,0
1629,주온 : 끝의 시작,오치아이 마사유키,2014-07-16,일본,394,410644,15세이상,공포(호러),2014,7,0
1630,극장판 공룡메카드: 타이니소어의 섬,최신규,2019-01-10,한국,763,410131,전체,애니메이션,2019,1,0
1631,러빙 빈센트,도로타 코비엘라,2017-11-09,영국,272,408322,15세이상,애니메이션,2017,11,0
1632,넛잡 2,캘런 브런커,2017-10-03,한국,526,407727,전체,애니메이션,2017,10,0
1633,니코: 산타비행단의 모험,캐리 주스넌,2012-12-25,핀란드,306,407264,전체,애니메이션,2012,12,0
1634,BB프로젝트,진목승,2006-09-28,홍콩,0,406558,12세이상,액션,2006,9,0
1635,"사랑해, 말순씨",박흥식,2005-11-03,한국,0,406526,12세이상,드라마,2005,11,0
1636,나의 소녀시대,프랭키 첸,2016-05-12,대만,176,406284,15세이상,멜로/로맨스,2016,5,0
1637,섹스 앤 더 시티 2,마이클 패트릭 킹,2010-06-10,미국,238,405580,19세이상,드라마,2010,6,0
1638,좋은 친구들,이도윤,2014-07-10,한국,371,404456,19세이상,범죄,2014,7,0
1640,아메리칸 갱스터,리들리 스콧,2007-12-27,미국,0,403624,19세이상,범죄,2007,12,0
1641,소리도 없이,홍의정,2020-10-15,한국,1084,403055,15세이상,범죄,2020,10,0
1642,전설의 고향,김지환,2007-05-23,한국,0,402117,12세이상,코미디,2007,5,0
1646,아메리칸 메이드,더그 라이만,2017-09-14,미국,691,401541,15세이상,범죄,2017,9,0
1647,아스트로 보이-아톰의 귀환,데이빗 보워스,2010-01-13,미국,285,401477,전체,애니메이션,2010,1,0
1648,버즈 오브 프레이(할리 퀸의 황홀한 해방),캐시 얀,2020-02-05,미국,963,401411,15세이상,액션,2020,2,0
1649,옹박 - 무에타이의 후예,프라챠 핀카엡,2004-05-26,태국,0,400958,15세이상,액션,2004,5,0
1650,닌자터틀,조나단 리브스만,2014-08-28,미국,479,400329,12세이상,액션,2014,8,0
1651,판타스틱 4,조쉬 트랭크,2015-08-20,미국,451,399667,12세이상,액션,2015,8,0
1652,익스펜더블,실베스터 스탤론,2010-08-19,미국,256,398097,19세이상,스릴러,2010,8,0
1653,사랑이 무서워,정우철,2011-03-10,한국,290,397923,15세이상,코미디,2011,3,0
1654,도마뱀,강지은,2006-04-27,한국,0,397913,12세이상,멜로/로맨스,2006,4,0
1655,몬스터 패밀리,호거 태프,2017-12-21,독일,617,397633,전체,애니메이션,2017,12,0
1656,무간도,유위강,2003-02-21,홍콩,0,397448,12세이상,액션,2003,2,0
1657,명탐정 코난 : 이차원의 저격수,시즈노 코분,2014-08-06,일본,299,397381,12세이상,애니메이션,2014,8,0
1658,날아라 허동구,박규태,2007-04-26,한국,0,396811,전체,가족,2007,4,0
1659,집행자,최진호,2009-11-05,한국,264,395865,19세이상,드라마,2009,11,0
1660,파이널 데스티네이션,제임스 왕,2006-05-11,미국,0,395755,18세이상,공포(호러),2006,5,0
1661,명탐정 코난 : 제로의 집행인,타치카와 유즈루,2018-08-08,일본,542,395408,12세이상,애니메이션,2018,8,0
1662,더 독,루이스 리테리어,2005-09-16,프랑스,0,395000,15세이상,액션,2005,9,0
1663,모노폴리,이항배,2006-06-01,한국,0,394935,15세이상,범죄,2006,6,0
1664,천년호,이광훈,2003-11-28,한국,0,393962,15세이상,멜로/로맨스,2003,11,0
1665,헬보이 2 : 골든 아미,길예르모 델 토로,2008-09-25,미국,279,391513,12세이상,SF,2008,9,0
1666,멋진 하루,이윤기,2008-09-25,한국,299,390741,12세이상,드라마,2008,9,0
1667,명탐정 코난 : 수평선상의 음모,야마모토 야스이치로,2013-08-07,일본,316,389253,12세이상,애니메이션,2013,8,0
1668,월래스와 그로밋 : 거대토끼의 저주,닉 파크,2005-11-04,영국,0,388499,전체,애니메이션,2005,11,0
1669,피터 래빗,윌 글럭,2018-05-16,미국,599,388300,전체,애니메이션,2018,5,0
1670,론 레인저,고어 버빈스키,2013-07-04,미국,401,387527,15세이상,액션,2013,7,0
1671,내 심장을 쏴라,문제용,2015-01-28,한국,452,387409,15세이상,드라마,2015,1,0
1672,제미니 맨,이안,2019-10-09,미국,845,387342,12세이상,액션,2019,10,0
1673,나의 독재자,이해준,2014-10-30,한국,654,385934,15세이상,드라마,2014,10,0
1674,명장,진가신,2008-01-30,중국,236,385841,19세이상,액션,2008,1,0
1675,천재 강아지 미스터 피바디,롭 민코프,2014-04-24,미국,533,385552,전체,애니메이션,2014,4,0
1676,럭키 넘버 슬레븐,폴 맥기건,2006-06-22,미국,0,384790,18세이상,스릴러,2006,6,0
1677,언더 워터,자움 콜렛 세라,2016-07-13,미국,518,384789,15세이상,공포(호러),2016,7,0
1678,크로니클,조쉬 트랭크,2012-03-15,미국,324,383862,15세이상,액션,2012,3,0
1679,신석기 블루스,김도혁,2004-12-30,한국,0,383674,15세이상,코미디,2004,12,0
1680,사랑의 레시피,스콧 힉스,2007-08-30,미국,0,383655,전체,멜로/로맨스,2007,8,0
1681,보통사람,김봉한,2017-03-23,한국,621,383336,15세이상,드라마,2017,3,0
1682,소수의견,김성제,2015-06-24,한국,398,383332,15세이상,드라마,2015,6,0
1683,트론: 새로운 시작,조셉 코신스키,2010-12-29,미국,379,382607,12세이상,SF,2010,12,0
1684,싸움,한지승,2007-12-12,한국,0,382422,15세이상,멜로/로맨스,2007,12,0
1685,내 이름은 칸,카란 조하르,2011-03-24,인도,84,381243,12세이상,드라마,2011,3,0
1686,대장 김창수,이원태,2017-10-19,한국,748,380581,12세이상,드라마,2017,10,0
1687,클릭,프랭크 코라치,2007-02-01,미국,0,379377,12세이상,코미디,2007,2,0
1688,스토커,박찬욱,2013-02-28,미국,329,378729,19세이상,드라마,2013,2,0
1692,착신아리2,츠카모토 렌페이,2005-04-29,일본,0,378520,15세이상,공포(호러),2005,4,0
1693,공자 춘추전국시대,후메이,2010-02-11,중국,243,377801,12세이상,드라마,2010,2,0
1694,우리 동네,정길영,2007-11-29,한국,0,377591,19세이상,스릴러,2007,11,0
1695,고스트 라이더,마크 스티븐 존슨,2007-04-12,미국,0,376333,15세이상,액션,2007,4,0
1696,프롬 파리 위드 러브,피에르 모렐,2010-03-11,프랑스,300,375573,19세이상,액션,2010,3,0
1697,폴라 익스프레스,로버트 저메키스,2004-12-23,미국,0,374400,전체,애니메이션,2004,12,0
1698,컨트롤러,조지 놀피,2011-03-03,미국,371,373344,12세이상,스릴러,2011,3,0
1699,언더월드,렌 와이즈먼,2003-09-25,미국,0,370212,18세이상,공포(호러),2003,9,0
1700,월드 트레이드 센터,올리버 스톤,2006-10-15,미국,0,369000,12세이상,드라마,2006,10,0
1701,눈의 여왕 3: 눈과 불의 마법대결,알렉세이 트시칠린,2017-01-04,러시아,526,366442,전체,애니메이션,2017,1,0
1702,극장판 포켓 몬스터 DP 「환영의 패왕 조로아크」,유야마 쿠니히코,2010-12-23,일본,140,366277,전체,애니메이션,2010,12,0
1703,쏜다,박정우,2007-03-14,한국,0,365684,15세이상,코미디,2007,3,0
1704,마들렌,박광춘,2003-01-10,한국,0,365656,15세이상,드라마,2003,1,0
1705,문프린세스 : 문에이커의 비밀,가버 추보,2009-02-19,영국,262,365525,전체,어드벤처,2009,2,0
1706,더 링,고어 버빈스키,2003-01-10,미국,0,365518,15세이상,공포(호러),2003,1,0
1707,그레이의 50가지 그림자,샘 테일러-존슨,2015-02-26,미국,512,364415,19세이상,드라마,2015,2,0
1708,파라노말 액티비티 2,서동욱,2010-10-21,미국,177,364251,12세이상,공포(호러),2010,10,0
1709,레드 라이딩 후드,캐서린 하드윅,2011-03-17,미국,249,362572,15세이상,드라마,2011,3,0
1710,투 윅스 노티스,마크 로렌스,2003-02-14,미국,0,362000,전체,멜로/로맨스,2003,2,0
1711,강적,조민호,2006-06-22,한국,0,361155,15세이상,액션,2006,6,0
1712,펠햄 123,토니 스콧,2009-06-11,미국,241,360661,15세이상,액션,2009,6,0
1713,무인 곽원갑,우인태,2006-03-23,중국,0,360630,12세이상,액션,2006,3,0
1714,홈,팀 존슨,2015-05-21,미국,532,360556,전체,가족,2015,5,0
1723,블라인드 사이드,존 리 행콕,2010-04-15,미국,132,359899,12세이상,드라마,2010,4,0
1724,극장판 포켓몬스터 베스트 위시「비크티니와 백의 영웅 레시라무」,유야마 쿠니히코,2011-12-22,일본,237,359663,전체,애니메이션,2011,12,0
1725,고질라: 킹 오브 몬스터,마이클 도허티,2019-05-29,미국,923,359041,12세이상,액션,2019,5,0
1726,환생,시미즈 다카시,2006-06-08,일본,0,358591,15세이상,멜로/로맨스,2006,6,0
1730,크리스마스 캐롤,로버트 저메키스,2009-11-26,미국,173,358286,전체,애니메이션,2009,11,0
1732,데스노트 L: 새로운 시작,나카타 히데오,2008-02-21,일본,243,358046,15세이상,스릴러,2008,2,0
1733,클로버필드 10번지,댄 트라첸버그,2016-04-07,미국,575,356976,15세이상,미스터리,2016,4,0
1734,어바웃 러브,존 헤이,2005-04-21,영국,0,356638,15세이상,드라마,2005,4,0
1735,경성학교: 사라진 소녀들,이해영,2015-06-18,한국,489,356342,15세이상,미스터리,2015,6,0
1736,씬 시티,프랭크 밀러,2005-06-30,미국,0,356183,18세이상,범죄,2005,6,0
1737,더 캣,보 웰치,2003-12-31,미국,0,356143,전체,판타지,2003,12,0
1738,어쌔신 크리드,저스틴 커젤,2017-01-11,미국,566,355913,15세이상,액션,2017,1,0
1739,플립,롭 라이너,2017-07-12,미국,249,354601,12세이상,드라마,2017,7,0
1743,극장판 짱구는 못말려: 아뵤! 쿵후 보이즈 ~라면 대란~,타카하시 와타루,2018-12-19,일본,489,353012,전체,애니메이션,2018,12,0
1744,브라더 베어,애론 블레이즈,2004-01-16,미국,0,352691,전체,드라마,2004,1,0
1745,아홉살 인생,윤인호,2004-03-26,한국,0,352182,전체,드라마,2004,3,0
1746,원초적 본능 2,프레드 올렌 레이,2006-03-30,미국,0,351882,18세이상,스릴러,2006,3,0
1747,석조저택 살인사건,정식,2017-05-09,한국,539,351830,15세이상,스릴러,2017,5,0
1748,커플즈,정용기,2011-11-02,한국,387,351779,15세이상,멜로/로맨스,2011,11,0
1749,미드나잇 인 파리,우디 알렌,2012-07-05,미국,189,351555,15세이상,코미디,2012,7,0
1750,나이트 플라이트,웨스 크레이븐,2005-09-09,미국,0,351518,15세이상,스릴러,2005,9,0
1751,싱글라이더,이주영,2017-02-22,한국,576,351276,15세이상,드라마,2017,2,0
1752,오! 문희,정세교,2020-09-02,한국,1110,351162,12세이상,코미디,2020,9,0
1753,그녀,스파이크 존즈,2014-05-22,미국,168,351091,15세이상,드라마,2014,5,0
1754,오즈 그레이트 앤드 파워풀,샘 레이미,2013-03-07,미국,425,350563,전체,판타지,2013,3,0
1755,열한번째 엄마,김진성,2007-11-29,한국,0,350204,12세이상,드라마,2007,11,0
1756,킬빌,쿠엔틴 타란티노,2003-11-21,미국,0,349699,18세이상,액션,2003,11,0
1757,극장판 포켓몬스터 베스트위시「큐레무 VS 성검사 케르디오」,유야마 쿠니히코,2012-12-19,일본,275,348883,전체,애니메이션,2012,12,0
1758,해프닝,M. 나이트 샤말란,2008-06-12,미국,244,348772,19세이상,SF,2008,6,0
1759,7호실,이용승,2017-11-15,한국,629,347790,15세이상,코미디,2017,11,0
1760,셔터,팍품 웡품,2005-06-30,태국,0,347141,15세이상,공포(호러),2005,6,0
1764,치외법권,신동엽,2015-08-27,한국,446,346483,15세이상,액션,2015,8,0
1765,짱구는 못말려 극장판 : 초시공! 태풍을 부르는 나의 신부,시기노 아키라,2011-05-05,일본,306,346441,전체,애니메이션,2011,5,0
1766,썸,장윤현,2004-10-22,한국,0,346000,15세이상,스릴러,2004,10,0
1767,덤보,팀 버튼,2019-03-27,미국,797,345521,전체,가족,2019,3,0
1768,링컨: 뱀파이어 헌터,티무르 베크맘베토브,2012-08-30,미국,337,344876,19세이상,액션,2012,8,0
1769,플러쉬,데이빗 보워스,2006-11-23,미국,0,344837,전체,스릴러,2006,11,0
1773,아메리칸 스나이퍼,클린트 이스트우드,2015-01-14,미국,308,344766,19세이상,액션,2015,1,0
1774,포켓 몬스터 DP: 아르세우스 초극의 시공으로,유야마 쿠니히코,2009-12-24,일본,79,343268,전체,애니메이션,2009,12,0
1775,동승,주경중,2003-04-11,한국,0,342586,전체,드라마,2003,4,0
1777,나두야 간다,정연원,2004-06-25,한국,0,342300,15세이상,코미디,2004,6,0
1778,숲속으로,롭 마샬,2014-12-24,미국,356,341882,전체,뮤지컬,2014,12,0
1779,브로크백 마운틴,이안,2006-03-01,미국,0,341242,15세이상,드라마,2006,3,0
1780,하이힐,장진,2014-06-03,한국,385,339844,19세이상,범죄,2014,6,0
1781,인형사,정용기,2004-07-30,한국,0,339038,15세이상,공포(호러),2004,7,0
1783,맨발의 꿈,김태균,2010-06-24,한국,333,338080,전체,드라마,2010,6,0
1784,레전드 오브 조로,마틴 캠벨,2005-10-28,미국,0,337213,12세이상,액션,2005,10,0
1785,허스토리,민규동,2018-06-27,한국,696,336822,12세이상,드라마,2018,6,0
1786,바스터즈: 거친 녀석들,쿠엔틴 타란티노,2009-10-28,미국,257,336312,19세이상,액션,2009,10,0
1787,브링 더 소울 : 더 무비,박준수,2019-08-07,한국,569,336074,전체,기타,2019,8,0
1788,그해 여름,조근식,2006-11-30,한국,0,336065,12세이상,멜로/로맨스,2006,11,0
1789,패딩턴 2,폴 킹,2018-02-08,프랑스,629,335906,전체,코미디,2018,2,0
1790,늑대아이,호소다 마모루,2012-09-13,일본,226,335706,전체,애니메이션,2012,9,0
1791,디 아이2,대니 팽,2004-05-26,홍콩,0,335000,15세이상,공포(호러),2004,5,0
1792,샬롯의 거미줄,게리 위닉,2007-02-08,미국,0,334460,전체,드라마,2007,2,0
1793,미나문방구,정익환,2013-05-16,한국,385,334323,전체,드라마,2013,5,0
1794,극장판 짱구는 못말려 : 습격!! 외계인 덩덩이,하시모토 마사카즈,2017-07-20,일본,547,333082,전체,애니메이션,2017,7,0
1795,남영동1985,정지영,2012-11-22,한국,310,332619,15세이상,드라마,2012,11,0
1796,에베레스트,발타자르 코루마쿠르,2015-09-24,미국,331,332180,12세이상,액션,2015,9,0
1800,상하이 나이츠,데이빗 돕킨,2003-02-14,미국,0,332144,12세이상,코미디,2003,2,0
1801,위자: 저주의 시작,마이크 플래너건,2016-11-09,미국,467,331877,12세이상,공포(호러),2016,11,0
1802,무서운 이야기,정범식,2012-07-25,한국,274,331760,19세이상,공포(호러),2012,7,0
1803,애프터 선셋,브렛 래트너,2005-08-25,미국,0,331595,15세이상,코미디,2005,8,0
1804,극장판 요괴워치: 염라대왕과 5개의 이야기다냥!,타카하시 시게하루,2016-07-20,일본,403,330665,전체,애니메이션,2016,7,0
1805,가필드,피터 휴잇,2004-08-19,미국,0,330380,전체,코미디,2004,8,0
1806,킬러스,로버트 루게틱,2010-09-02,미국,280,329086,15세이상,액션,2010,9,0
1810,선 오브 갓,크리스토퍼 스펜서,2014-04-10,미국,419,329029,12세이상,드라마,2014,4,0
1811,프로포즈,앤 플레쳐,2009-09-03,미국,174,328767,15세이상,멜로/로맨스,2009,9,0
1812,칠검,서극,2005-09-29,홍콩,0,328637,15세이상,액션,2005,9,0
1813,파랑주의보,전윤수,2005-12-22,한국,0,328538,12세이상,드라마,2005,12,0
1814,링컨 차를 타는 변호사,브래드 퍼맨,2011-06-16,미국,241,327612,15세이상,범죄,2011,6,0
1815,잭 라이언 : 코드네임 쉐도우,케네스 브래너,2014-01-16,미국,419,327591,12세이상,액션,2014,1,0
1816,미드나잇 선,스콧 스피어,2018-06-21,미국,472,326086,12세이상,멜로/로맨스,2018,6,0
1820,그린랜드,릭 로먼 워,2020-09-29,미국,779,325833,12세이상,액션,2020,9,0
1821,헤어스프레이,아담 쉥크만,2007-12-06,미국,0,325171,12세이상,드라마,2007,12,0
1822,미스 포터,크리스 누난,2007-01-25,영국,0,325085,전체,드라마,2007,1,0
1823,스폰지밥 3D,폴 티비트,2015-02-18,미국,357,325016,전체,애니메이션,2015,2,0
1824,희생부활자,곽경택,2017-10-12,한국,781,323628,15세이상,미스터리,2017,10,0
1825,헬보이,닐 마샬,2019-04-10,미국,726,323098,19세이상,액션,2019,4,0
1829,정승필 실종사건,강석범,2009-10-08,한국,238,322459,15세이상,코미디,2009,10,0
