,영화명,감독,개봉일,국가,스크린수,관객수,관람가,장르,개봉연도,개봉월,흥행
29,검사외전,이일형,2016-02-03,한국,1812,9699092,15세이상,범죄,2016,2,1
30,엑시트,이상근,2019-07-31,한국,1660,9426051,12세이상,코미디,2019,7,1
34,관상,한재림,2013-09-11,한국,1190,9134586,15세이상,사극,2013,9,1
35,아이언맨 3,쉐인 블랙,2013-04-25,미국,1381,9001309,12세이상,액션,2013,4,1
36,설국열차,봉준호,2013-08-01,한국,1128,8914845,15세이상,SF,2013,8,1
37,캡틴 아메리카: 시빌 워,안소니 루소,2016-04-27,미국,1991,8677249,12세이상,액션,2016,4,1
38,수상한 그녀,황동혁,2014-01-22,한국,692,8656397,15세이상,드라마,2014,1,1
39,해적: 바다로 간 산적,이석훈,2014-08-06,한국,838,8646758,12세이상,어드벤처,2014,8,1
40,국가대표,김용화,2009-07-29,한국,580,8487894,12세이상,드라마,2009,7,1
41,디워,심형래,2007-08-01,한국,0,8426973,12세이상,액션,2007,8,1
42,백두산,이해준,2019-12-19,한국,1971,8252669,12세이상,어드벤처,2019,12,1
43,과속스캔들,강형철,2008-12-03,한국,405,8245523,12세이상,코미디,2008,12,1
44,스파이더맨: 파 프롬 홈,존 왓츠,2019-07-02,미국,2142,8020208,12세이상,액션,2019,7,1
45,웰컴 투 동막골,박광현,2005-08-04,한국,0,8008622,12세이상,전쟁,2005,8,1
46,트랜스포머 3,마이클 베이,2011-06-29,미국,1409,7784807,12세이상,액션,2011,6,1
47,히말라야,이석훈,2015-12-16,한국,1009,7759473,12세이상,드라마,2015,12,1
48,미션임파서블:고스트프로토콜,브래드 버드,2011-12-15,미국,1038,7575899,15세이상,액션,2011,12,1
49,트랜스포머: 패자의 역습,마이클 베이,2009-06-24,미국,1129,7505700,12세이상,SF,2009,6,1
50,밀정,김지운,2016-09-07,한국,1444,7487545,15세이상,액션,2016,9,1
51,최종병기 활,김한민,2011-08-10,한국,615,7466976,15세이상,사극,2011,8,1
52,트랜스포머,마이클 베이,2007-06-28,미국,0,7440531,12세이상,SF,2007,6,1
53,써니,강형철,2011-05-04,한국,472,7328820,15세이상,드라마,2011,5,1
54,화려한 휴가,김지훈,2007-07-25,한국,0,7307993,12세이상,드라마,2007,7,1
55,스파이더맨: 홈 커밍,존 왓츠,2017-07-05,미국,1965,7257973,12세이상,액션,2017,7,1
57,베를린,류승완,2013-01-30,한국,894,7166199,15세이상,액션,2013,1,1
58,터널,김성훈,2016-08-10,한국,1105,7118592,12세이상,드라마,2016,8,1
59,어벤져스,조스 웨던,2012-04-26,미국,967,7074867,12세이상,액션,2012,4,1
60,내부자들,우민호,2015-11-19,한국,1075,7071763,19세이상,범죄,2015,11,1
61,인천상륙작전,이재한,2016-07-27,한국,1049,7049643,12세이상,전쟁,2016,7,1
62,럭키,이계벽,2016-10-13,한국,1158,6965706,15세이상,코미디,2016,10,1
66,은밀하게 위대하게,장철수,2013-06-05,한국,1341,6953800,15세이상,액션,2013,6,1
67,곡성,나홍진,2016-05-12,한국,1485,6878264,15세이상,미스터리,2016,5,1
68,범죄도시,강윤성,2017-10-03,한국,1315,6851297,19세이상,범죄,2017,10,1
72,타짜,최동훈,2006-09-28,한국,0,6847777,18세이상,드라마,2006,9,1
74,늑대소년,조성희,2012-10-31,한국,706,6654837,15세이상,멜로/로맨스,2012,10,1
75,미녀는 괴로워,김용화,2006-12-14,한국,0,6619498,12세이상,멜로/로맨스,2006,12,1
76,군함도,류승완,2017-07-26,한국,2027,6592151,15세이상,액션,2017,7,1
77,미션 임파서블: 폴아웃,크리스토퍼 맥쿼리,2018-07-25,미국,1957,6584915,15세이상,액션,2018,7,1
78,다크 나이트 라이즈,크리스토퍼 놀란,2012-07-19,미국,1210,6396528,15세이상,액션,2012,7,1
79,아저씨,이정범,2010-08-04,한국,478,6282774,19세이상,액션,2010,8,1
80,사도,이준익,2015-09-16,한국,1210,6246849,12세이상,사극,2015,9,1
81,전우치,최동훈,2009-12-23,한국,606,6136928,12세이상,액션,2009,12,1
82,미션 임파서블: 로그네이션,크리스토퍼 맥쿼리,2015-07-30,미국,1202,6126488,15세이상,액션,2015,7,1
83,킹스맨 : 시크릿 에이전트,매튜 본,2015-02-11,미국,706,6125154,19세이상,액션,2015,2,1
84,투사부일체,김동원,2006-01-19,한국,0,6105431,15세이상,코미디,2006,1,1
85,연평해전,김학순,2015-06-24,한국,1013,6043458,12세이상,드라마,2015,6,1
86,반지의 제왕 : 왕의 귀환,피터 잭슨,2003-12-17,미국,0,5960000,12세이상,판타지,2003,12,1
87,인셉션,크리스토퍼 놀란,2010-07-21,미국,528,5926948,12세이상,드라마,2010,7,1
88,레미제라블,톰 후퍼,2012-12-19,미국,696,5911890,12세이상,드라마,2012,12,1
89,캡틴 마블,애너 보든,2019-03-06,미국,2100,5801069,12세이상,액션,2019,3,1
90,미션 임파서블 3,J.J. 에이브럼스,2006-05-03,미국,0,5740789,15세이상,액션,2006,5,1
91,쥬라기 월드: 폴른 킹덤,후안 안토니오 바요나,2018-06-06,미국,1972,5661128,12세이상,액션,2018,6,1
92,청년경찰,김주환,2017-08-09,한국,1102,5636259,15세이상,액션,2017,8,1
93,가문의 위기(가문의 영광2),정용기,2005-09-07,한국,0,5635266,15세이상,코미디,2005,9,1
94,숨바꼭질,허정,2013-08-14,한국,779,5602543,15세이상,스릴러,2013,8,1
98,덕혜옹주,허진호,2016-08-03,한국,964,5593551,12세이상,사극,2016,8,1
99,더 테러 라이브,김병우,2013-07-31,한국,743,5583596,15세이상,범죄,2013,7,1
100,쥬라기 월드,콜린 트레보로우,2015-06-11,미국,1290,5546792,12세이상,액션,2015,6,1
101,의형제,장훈,2010-02-04,한국,572,5507106,15세이상,드라마,2010,2,1
102,감시자들,조의석,2013-07-03,한국,949,5496547,15세이상,범죄,2013,7,1
